Transaction_ID,Date,Category,Type,Merchant,Amount,Payment_Method,Status,Description
TXN100011,2024-06-26,Freelance,Income,Freelance Platform,1446.79,Mobile Payment,Completed,Income - Freelance at Freelance Platform
TXN100090,2024-06-30,Insurance,Expense,Auto Insurance Co,-242.64,Credit Card,Completed,Expense - Insurance at Auto Insurance Co
TXN100055,2024-07-02,Insurance,Expense,Health Insurance Co,-171.95,Credit Card,Completed,Expense - Insurance at Health Insurance Co
TXN100042,2024-07-04,Savings,Expense,Investment Account,-948.91,Debit Card,Pending,Expense - Savings at Investment Account
TXN100081,2024-07-11,Travel,Expense,Rental Car,-1132.72,Bank Transfer,Completed,Expense - Travel at Rental Car
TXN100050,2024-07-12,Shopping,Expense,Amazon,-44.23,Mobile Payment,Completed,Expense - Shopping at Amazon
TXN100006,2024-07-15,Transportation,Expense,Car Repair Shop,-45.75,Cash,Completed,Expense - Transportation at Car Repair Shop
TXN100054,2024-07-21,Healthcare,Expense,Doctor Office,-140.31,Credit Card,Completed,Expense - Healthcare at Doctor Office
TXN100071,2024-07-25,Rent,Expense,Generic Merchant,-1231.46,Mobile Payment,Completed,Expense - Rent at Generic Merchant
TXN100038,2024-07-26,Investment Income,Income,Brokerage Account,473.55,Mobile Payment,Completed,Income - Investment Income at Brokerage Account
TXN100040,2024-07-28,Investment Income,Income,Interest Payment,164.21,Cash,Completed,Income - Investment Income at Interest Payment
TXN100024,2024-07-29,Education,Expense,Online Course,-144.26,Credit Card,Completed,Expense - Education at Online Course
TXN100026,2024-07-31,Gift,Income,Generic Merchant,470.18,Bank Transfer,Pending,Income - Gift at Generic Merchant
TXN100067,2024-07-31,Rent,Expense,Generic Merchant,-1816.78,Cash,Completed,Expense - Rent at Generic Merchant
TXN100002,2024-08-15,Transportation,Expense,Public Transit,-83.35,Mobile Payment,Completed,Expense - Transportation at Public Transit
TXN100010,2024-08-16,Dining Out,Expense,Pizza Hut,-74.12,Credit Card,Completed,Expense - Dining Out at Pizza Hut
TXN100053,2024-08-27,Investment Income,Income,Dividend Payment,488.07,Bank Transfer,Completed,Income - Investment Income at Dividend Payment
TXN100085,2024-08-27,Savings,Expense,Emergency Fund,-593.45,Cash,Completed,Expense - Savings at Emergency Fund
TXN100073,2024-08-28,Freelance,Income,Client A,971.38,Mobile Payment,Completed,Income - Freelance at Client A
TXN100087,2024-08-28,Debt Payment,Expense,Loan Payment,-390.55,Debit Card,Completed,Expense - Debt Payment at Loan Payment
TXN100074,2024-09-02,Insurance,Expense,Health Insurance Co,-130.62,Debit Card,Completed,Expense - Insurance at Health Insurance Co
TXN100004,2024-09-10,Gift,Income,Generic Merchant,157.13,Credit Card,Completed,Income - Gift at Generic Merchant
TXN100058,2024-09-13,Freelance,Income,Freelance Platform,1070.04,Mobile Payment,Completed,Income - Freelance at Freelance Platform
TXN100007,2024-09-16,Entertainment,Expense,Spotify,-102.15,Bank Transfer,Completed,Expense - Entertainment at Spotify
TXN100061,2024-09-17,Freelance,Income,Freelance Platform,1700.97,Credit Card,Pending,Income - Freelance at Freelance Platform
TXN100016,2024-09-19,Gift,Income,Generic Merchant,308.15,Credit Card,Completed,Income - Gift at Generic Merchant
TXN100048,2024-09-24,Transportation,Expense,Public Transit,-79.17,Bank Transfer,Completed,Expense - Transportation at Public Transit
TXN100020,2024-10-01,Miscellaneous,Expense,Generic Merchant,-89.09,Cash,Completed,Expense - Miscellaneous at Generic Merchant
TXN100069,2024-10-06,Refund,Income,Generic Merchant,159.12,Cash,Completed,Income - Refund at Generic Merchant
TXN100093,2024-10-07,Debt Payment,Expense,Mortgage Payment,-168.08,Debit Card,Completed,Expense - Debt Payment at Mortgage Payment
TXN100047,2024-10-09,Transportation,Expense,Public Transit,-38.39,Bank Transfer,Completed,Expense - Transportation at Public Transit
TXN100028,2024-10-11,Education,Expense,Online Course,-84.72,Debit Card,Completed,Expense - Education at Online Course
TXN100030,2024-10-11,Dining Out,Expense,Starbucks,-61.82,Credit Card,Completed,Expense - Dining Out at Starbucks
TXN100003,2024-10-12,Gift,Income,Generic Merchant,488.09,Credit Card,Completed,Income - Gift at Generic Merchant
TXN100023,2024-10-21,Travel,Expense,Airline,-721.38,Mobile Payment,Completed,Expense - Travel at Airline
TXN100052,2024-10-22,Travel,Expense,Travel Agency,-355.48,Debit Card,Completed,Expense - Travel at Travel Agency
TXN100079,2024-10-25,Debt Payment,Expense,Mortgage Payment,-417.0,Mobile Payment,Completed,Expense - Debt Payment at Mortgage Payment
TXN100022,2024-10-28,Utilities,Expense,Internet Provider,-152.16,Cash,Completed,Expense - Utilities at Internet Provider
TXN100018,2024-10-29,Subscriptions,Expense,Gym Membership,-32.4,Debit Card,Completed,Expense - Subscriptions at Gym Membership
TXN100091,2024-10-29,Entertainment,Expense,Movie Theater,-52.94,Cash,Completed,Expense - Entertainment at Movie Theater
TXN100072,2024-11-07,Entertainment,Expense,Movie Theater,-94.39,Bank Transfer,Pending,Expense - Entertainment at Movie Theater
TXN100036,2024-11-10,Transportation,Expense,Car Repair Shop,-45.66,Mobile Payment,Completed,Expense - Transportation at Car Repair Shop
TXN100051,2024-11-12,Healthcare,Expense,Doctor Office,-285.83,Debit Card,Pending,Expense - Healthcare at Doctor Office
TXN100060,2024-11-13,Refund,Income,Generic Merchant,133.07,Bank Transfer,Completed,Income - Refund at Generic Merchant
TXN100015,2024-11-14,Subscriptions,Expense,Magazine Subscription,-18.83,Bank Transfer,Completed,Expense - Subscriptions at Magazine Subscription
TXN100066,2024-11-22,Freelance,Income,Client A,769.13,Mobile Payment,Completed,Income - Freelance at Client A
TXN100097,2024-12-01,Salary,Income,Organization XYZ,4511.97,Mobile Payment,Completed,Income - Salary at Organization XYZ
TXN100021,2024-12-07,Groceries,Expense,Walmart,-133.9,Cash,Completed,Expense - Groceries at Walmart
TXN100032,2024-12-18,Shopping,Expense,Amazon,-54.44,Credit Card,Completed,Expense - Shopping at Amazon
TXN100096,2024-12-20,Groceries,Expense,Kroger,-104.61,Debit Card,Completed,Expense - Groceries at Kroger
TXN100086,2024-12-24,Utilities,Expense,Water Utility,-111.58,Bank Transfer,Completed,Expense - Utilities at Water Utility
TXN100094,2024-12-26,Travel,Expense,Airline,-857.63,Cash,Completed,Expense - Travel at Airline
